City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Mahebourg,MU,70.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
10,Albany,US,72.25,few clouds,42.6001,-73.9662,
19,Kapaa,US,87.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Itarema,BR,75.97,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
26,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
27,Vila Franca Do Campo,PT,73.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
28,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
32,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
33,Dingle,PH,84.24,light rain,10.9995,122.6711,SEGAYA PROPERTY
34,Rikitea,PF,74.66,clear sky,-23.1203,-134.9692,People ThankYou
38,Mareeba,AU,72.45,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
42,Vaitape,PF,79.03,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
44,Kapit,MY,75.25,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
45,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
46,Ballina,AU,72.79,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
49,Butaritari,KI,82.31,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
51,Shimanovsk,RU,74.71,clear sky,52.0,127.7,Гостиница Домашняя
55,Hilo,US,83.93,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
56,Moerai,PF,73.18,clear sky,-22.4333,-151.3333,Le Manotel
57,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
59,Pangai,TO,75.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
61,Ribeira Grande,PT,71.67,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
64,San Quintin,MX,74.01,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
65,Pringsewu,ID,77.09,light rain,-5.3582,104.9744,Urban Style by Front One
66,Grand Gaube,MU,70.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
68,Bonfim,BR,73.62,overcast clouds,3.0833,-59.95,
71,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
72,Torbay,CA,72.75,overcast clouds,47.6666,-52.7314,Gallows Cove
73,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
74,Altamira,BR,75.72,broken clouds,-3.2033,-52.2064,Requinte Hotel
75,Banda Aceh,ID,77.5,overcast clouds,5.5577,95.3222,Sulthan Hotel International
78,Vence,FR,77.02,clear sky,43.7216,7.1123,Hôtel La Victoire
80,Kalmunai,LK,79.2,overcast clouds,7.4167,81.8167,VS Villa
81,Mantua,IT,79.84,clear sky,45.1667,10.7833,Hotel la Favorita
83,Tomatlan,MX,82.65,clear sky,19.9333,-105.25,El Salvial
84,Kasongo,CD,74.28,overcast clouds,-4.45,26.6667,Guest Hôtel
85,Tual,ID,79.54,broken clouds,-5.6667,132.75,Grand Vilia Hotel
88,Taitung,TW,84.47,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
89,Atuona,PF,78.55,few clouds,-9.8,-139.0333,Villa Enata
92,Carutapera,BR,75.11,broken clouds,-1.195,-46.02,Lidera
94,Bethel,US,81.18,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
95,Yarmouth,US,82.45,clear sky,41.7057,-70.2286,Blue Rock Resort
99,Tucupita,VE,73.74,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
100,Taman,RU,70.12,overcast clouds,45.2117,36.7161,Staryy Gorod G. Taman
102,Palmer,US,78.73,scattered clouds,42.1584,-72.3287,Wedgewood Motel
107,Krasnyy Yar,RU,71.53,clear sky,46.5331,48.3456,Cottege near Ufa
108,Meulaboh,ID,73.44,overcast clouds,4.1363,96.1285,Kost Pria
109,Luanda,AO,71.6,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
110,Alugan,PH,82.85,scattered clouds,12.2188,125.4808,JM Lodge
112,Sioux Lookout,CA,80.98,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
118,Abu Kamal,SY,84.61,clear sky,34.4506,40.9171,محطة التلفاز
122,Alghero,IT,75.29,clear sky,40.5589,8.3181,Villa Las Tronas Hotel & Spa
124,Namatanai,PG,85.44,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
126,Puerto Padre,CU,85.21,scattered clouds,21.195,-76.6028,El Paseo
129,Jamestown,US,71.19,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
132,Caribou,US,72.03,clear sky,46.8606,-68.012,Crown Park Inn Caribou
133,Riyadh,SA,87.94,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
134,Bubaque,GW,78.82,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
135,Abu Samrah,SY,74.77,clear sky,35.3029,37.1841,
136,Abnub,EG,80.82,clear sky,27.2696,31.1511,Romany Adly Gad
137,Dzilam Gonzalez,MX,79.38,clear sky,21.2833,-88.9333,posadas
138,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
142,Jalu,LY,81.25,clear sky,29.0331,21.5482,صاحبة الفخامة
143,Muroto,JP,80.64,overcast clouds,33.2833,134.15,Oota Ryokan
146,Muisne,EC,73.98,overcast clouds,0.6,-80.0333,Quinta Samay
148,Kavieng,PG,85.82,light rain,-2.5744,150.7967,Nusa Island Retreat
152,Tabou,CI,74.32,clear sky,4.423,-7.3528,hotêl doufoulougou
155,Nabire,ID,83.98,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
160,The Valley,AI,83.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
163,Nautla,MX,82.44,clear sky,20.2167,-96.7833,Casa Blanca
164,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
166,Davila,PH,82.38,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
173,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
176,Victoria,HK,82.45,light rain,22.2855,114.1577,Mini Hotel Central
179,Sao Jose Da Coroa Grande,BR,73.24,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
182,Naze,JP,81.52,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
184,Labuhan,ID,80.47,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
185,Rabo De Peixe,PT,72.91,broken clouds,37.8,-25.5833,Quinta das Giestas
186,Constantine,DZ,74.61,clear sky,36.365,6.6147,Grand Hotel Cirta
