City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bilibino,RU,2021-08-15 00:34:45,68.0546,166.4372,46.45,69,100,9.04,overcast clouds
1,Port Macquarie,AU,2021-08-15 00:31:25,-31.4333,152.9167,62.56,51,0,4.7,clear sky
2,Ferme-Neuve,CA,2021-08-15 00:34:45,46.7001,-75.4493,64.18,68,0,4.16,clear sky
3,Hermanus,ZA,2021-08-15 00:34:46,-34.4187,19.2345,53.91,77,0,11.34,clear sky
4,Ushuaia,AR,2021-08-15 00:34:46,-54.8,-68.3,35.26,75,0,3.44,clear sky
5,Paita,PE,2021-08-15 00:34:46,-5.0892,-81.1144,64.49,88,9,15.3,clear sky
6,Punta Arenas,CL,2021-08-15 00:34:47,-53.15,-70.9167,42.91,93,90,6.91,light rain
7,Mahebourg,MU,2021-08-15 00:34:47,-20.4081,57.7,70.09,73,75,11.5,light rain
8,Yellowknife,CA,2021-08-15 00:30:22,62.456,-114.3525,59.52,94,75,16.11,light rain
9,Tombouctou,ML,2021-08-15 00:34:47,20.0,-3.0,96.76,11,8,6.24,clear sky
10,Albany,US,2021-08-15 00:32:35,42.6001,-73.9662,72.25,54,14,1.99,few clouds
11,Okhotsk,RU,2021-08-15 00:34:48,59.3833,143.3,65.37,77,55,3.47,broken clouds
12,Ulaanbaatar,MN,2021-08-15 00:32:17,47.9077,106.8832,59.13,77,0,2.24,clear sky
13,Hanna,CA,2021-08-15 00:34:48,51.6334,-111.9018,98.24,15,57,5.99,broken clouds
14,Namibe,AO,2021-08-15 00:34:49,-15.1961,12.1522,64.9,90,28,2.86,scattered clouds
15,Suslovo,RU,2021-08-15 00:34:49,56.2167,88.1167,55.17,78,100,2.04,overcast clouds
16,Khatanga,RU,2021-08-15 00:34:50,71.9667,102.5,58.46,52,53,6.17,broken clouds
17,Bluff,NZ,2021-08-15 00:34:50,-46.6,168.3333,54.81,73,94,19.86,overcast clouds
18,Constitucion,CL,2021-08-15 00:34:51,-35.3333,-72.4167,47.28,88,99,1.74,overcast clouds
19,Kapaa,US,2021-08-15 00:34:51,22.0752,-159.319,87.78,67,1,5.01,clear sky
20,Itarema,BR,2021-08-15 00:34:51,-2.9248,-39.9167,75.97,79,10,7.54,clear sky
21,Roald,NO,2021-08-15 00:34:52,62.5833,6.1333,56.34,94,40,9.22,light rain
22,Kaitangata,NZ,2021-08-15 00:34:52,-46.2817,169.8464,54.43,64,85,10.47,overcast clouds
23,Codrington,AU,2021-08-15 00:34:53,-38.2667,141.9667,57.74,69,0,20.96,clear sky
24,Ceres,US,2021-08-15 00:34:53,37.5949,-120.9577,103.91,22,1,10.36,clear sky
25,Chicama,PE,2021-08-15 00:34:54,-7.8447,-79.1469,61.34,84,66,9.01,broken clouds
26,Vaini,TO,2021-08-15 00:34:54,-21.2,-175.2,73.56,68,40,10.36,scattered clouds
27,Vila Franca Do Campo,PT,2021-08-15 00:34:54,37.7167,-25.4333,73.81,89,60,11.83,broken clouds
