City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Baykit,RU,2021-08-03 02:09:12,61.67,96.37,67.39,69,97,8.99
1,Rikitea,PF,2021-08-03 02:09:13,-23.1203,-134.9692,69.6,57,44,21.0
2,Maldonado,UY,2021-08-03 02:07:10,-34.6667,-54.9167,47.59,93,0,3.56
3,Albany,US,2021-08-03 02:09:14,42.6001,-73.9662,61.41,85,0,5.66
4,Hithadhoo,MV,2021-08-03 02:09:14,-0.6,73.0833,81.97,72,99,7.83
5,Sao Felix Do Xingu,BR,2021-08-03 02:09:14,-6.6447,-51.995,72.93,47,5,1.54
6,Mataura,NZ,2021-08-03 02:09:15,-46.1927,168.8643,50.49,76,20,4.41
7,Inhambane,MZ,2021-08-03 02:09:15,-23.865,35.3833,66.6,74,12,11.54
8,Yellowknife,CA,2021-08-03 02:09:16,62.456,-114.3525,87.3,33,0,6.38
9,Arraial Do Cabo,BR,2021-08-03 02:09:17,-22.9661,-42.0278,66.06,82,0,6.91
10,Faanui,PF,2021-08-03 02:09:17,-16.4833,-151.75,78.84,77,20,12.84
11,Yakeshi,CN,2021-08-03 02:09:18,49.2833,120.7333,71.11,64,100,5.35
12,Jamestown,US,2021-08-03 02:07:37,42.097,-79.2353,59.72,81,0,1.99
13,Hilo,US,2021-08-03 02:09:04,19.7297,-155.09,80.33,80,75,9.22
14,Busselton,AU,2021-08-03 02:09:19,-33.65,115.3333,52.09,78,100,6.6
15,Saint-Philippe,RE,2021-08-03 02:09:20,-21.3585,55.7679,65.79,67,0,2.28
16,Shahrud,IR,2021-08-03 02:09:20,36.4182,54.9763,71.04,32,98,6.38
17,Bredasdorp,ZA,2021-08-03 02:09:21,-34.5322,20.0403,51.28,96,8,4.88
18,College,US,2021-08-03 02:09:21,64.8569,-147.8028,85.59,38,1,0.0
19,Elko,US,2021-08-03 02:09:22,41.0002,-115.5012,87.82,18,90,10.0
20,Chazuta,PE,2021-08-03 02:09:23,-6.5742,-76.1367,74.25,75,15,2.01
21,Puerto Ayora,EC,2021-08-03 02:09:23,-0.7393,-90.3518,70.61,92,40,8.21
22,Vila Franca Do Campo,PT,2021-08-03 02:09:24,37.7167,-25.4333,66.61,83,0,4.99
23,Launceston,AU,2021-08-03 02:09:25,-41.45,147.1667,56.61,70,93,1.99
24,Iqaluit,CA,2021-08-03 02:09:25,63.7506,-68.5145,44.31,88,100,8.39
25,Provideniya,RU,2021-08-03 02:09:26,64.3833,-173.3,53.71,82,90,13.42
26,Vaini,TO,2021-08-03 02:09:27,-21.2,-175.2,72.03,58,8,15.59
27,Gigmoto,PH,2021-08-03 02:09:27,13.7796,124.39,87.31,70,100,14.74
28,Kodiak,US,2021-08-03 02:09:28,57.79,-152.4072,54.91,76,90,10.36
29,Ushuaia,AR,2021-08-03 02:09:29,-54.8,-68.3,37.06,87,40,17.27
30,Chuy,UY,2021-08-03 02:09:29,-33.6971,-53.4616,48.04,95,0,5.17
31,Dingle,PH,2021-08-03 02:09:30,10.9995,122.6711,86.81,67,100,16.04
32,Ouesso,CG,2021-08-03 02:09:31,1.6136,16.0517,70.03,92,100,1.9
33,Byron Bay,AU,2021-08-03 02:09:31,-28.65,153.6167,74.05,61,86,7.92
34,Tatarka,RU,2021-08-03 02:09:32,44.9589,41.9517,69.62,65,5,3.24
35,Pevek,RU,2021-08-03 02:09:32,69.7008,170.3133,35.19,84,100,17.85
36,Ponta Do Sol,PT,2021-08-03 02:09:33,32.6667,-17.1,73.0,76,22,6.08
37,Poum,NC,2021-08-03 02:09:34,-20.2333,164.0167,69.82,63,0,7.4
38,Rabak,SD,2021-08-03 02:09:34,13.1809,32.74,76.55,75,79,12.3
39,Tiksi,RU,2021-08-03 02:09:35,71.6872,128.8694,50.05,59,64,7.94
40,Punta Arenas,CL,2021-08-03 02:09:35,-53.15,-70.9167,37.51,81,20,32.21
41,Hermanus,ZA,2021-08-03 02:09:36,-34.4187,19.2345,55.9,79,0,9.01
42,Ilulissat,GL,2021-08-03 02:09:37,69.2167,-51.1,44.62,81,75,1.14
43,Burayevo,RU,2021-08-03 02:09:37,55.8407,55.4083,68.18,54,98,5.19
44,Ancud,CL,2021-08-03 02:09:38,-41.8697,-73.8203,45.93,94,100,4.41
45,Mayo,US,2021-08-03 02:08:17,38.8876,-76.5119,72.09,86,1,0.0
46,Kutum,SD,2021-08-03 02:09:38,14.2,24.6667,72.45,69,39,13.87
47,Carnarvon,AU,2021-08-03 02:09:39,-24.8667,113.6333,62.67,37,0,13.8
48,Batagay-Alyta,RU,2021-08-03 02:06:38,67.8006,130.4114,71.38,26,0,6.17
49,Pristina,XK,2021-08-03 02:09:39,42.6727,21.1669,64.24,77,0,2.3
50,Kavaratti,IN,2021-08-03 02:09:40,10.5669,72.642,82.08,73,71,15.01
51,Kamen-Rybolov,RU,2021-08-03 02:09:40,44.7481,132.0403,72.34,83,89,9.17
52,Lompoc,US,2021-08-03 02:09:41,34.6391,-120.4579,83.79,72,1,12.66
53,Sokolka,PL,2021-08-03 02:09:41,53.4072,23.5023,52.66,87,57,7.29
54,New Norfolk,AU,2021-08-03 02:09:42,-42.7826,147.0587,54.75,76,97,1.01
55,Hay River,CA,2021-08-03 02:09:42,60.8156,-115.7999,78.39,36,4,7.85
56,Sitka,US,2021-08-03 02:09:43,57.0531,-135.33,60.69,77,75,9.22
57,Kiunga,PG,2021-08-03 02:09:43,-6.1219,141.2906,83.59,65,97,3.22
58,Ezhou,CN,2021-08-03 02:09:44,30.4,114.8333,86.68,69,2,5.5
59,Acari,PE,2021-08-03 02:09:44,-15.4311,-74.6158,67.62,69,26,3.8
60,Tasiilaq,GL,2021-08-03 02:09:44,65.6145,-37.6368,44.76,81,100,1.92
61,Thompson,CA,2021-08-03 02:09:45,55.7435,-97.8558,71.78,46,1,5.59
62,Hobart,AU,2021-08-03 02:07:00,-42.8794,147.3294,55.11,71,75,1.01
63,Asfi,MA,2021-08-03 02:09:45,32.2994,-9.2372,67.1,92,4,9.08
64,Padang,ID,2021-08-03 02:09:46,-0.9492,100.3543,82.96,68,67,1.54
65,Portland,US,2021-08-03 02:08:58,45.5234,-122.6762,94.28,46,20,14.97
66,Saint-Denis,FR,2021-08-03 02:09:47,48.9167,2.3333,62.22,94,90,0.0
67,Hobyo,SO,2021-08-03 02:09:16,5.3505,48.5268,77.5,73,66,19.75
68,Pisco,PE,2021-08-03 02:09:47,-13.7,-76.2167,62.65,82,90,8.05
69,Cidreira,BR,2021-08-03 02:09:48,-30.1811,-50.2056,51.4,88,0,4.76
70,Methven,NZ,2021-08-03 02:09:48,-43.6333,171.65,48.02,62,99,1.01
71,Vanimo,PG,2021-08-03 02:09:48,-2.6741,141.3028,85.96,69,50,8.75
72,Rudbar,AF,2021-08-03 02:09:49,30.15,62.6,82.94,17,3,15.7
73,Cape Town,ZA,2021-08-03 02:09:49,-33.9258,18.4232,56.12,100,0,2.3
74,Malaryta,BY,2021-08-03 02:09:50,51.7905,24.074,55.81,92,62,7.83
75,Abeche,TD,2021-08-03 02:09:50,13.8292,20.8324,76.15,80,99,11.54
76,Anito,PH,2021-08-03 02:09:51,12.4497,125.2886,89.71,58,100,11.61
77,Zhanaozen,KZ,2021-08-03 02:09:51,43.3,52.8,83.62,17,3,9.95
78,Iberia,US,2021-08-03 02:09:51,29.9502,-91.7507,79.97,100,20,0.0
79,Avarua,CK,2021-08-03 02:09:52,-21.2078,-159.775,78.85,78,90,9.22
80,Bluff,NZ,2021-08-03 02:09:52,-46.6,168.3333,50.81,58,19,7.18
81,Lesnoye,RU,2021-08-03 02:09:53,58.2841,35.5158,59.18,88,100,13.67
82,Kapaa,US,2021-08-03 02:09:53,22.0752,-159.319,85.98,80,40,5.01
83,Kailua,US,2021-08-03 02:09:53,21.4022,-157.7394,87.78,61,40,13.8
84,Carutapera,BR,2021-08-03 02:09:54,-1.195,-46.02,74.03,91,7,3.42
85,Vila Velha,BR,2021-08-03 02:09:54,-20.3297,-40.2925,58.95,100,0,0.0
86,Qasigiannguit,GL,2021-08-03 02:06:12,68.8193,-51.1922,44.85,94,100,4.68
87,Primorsk,UA,2021-08-03 02:09:55,46.7348,36.3443,75.11,62,1,6.96
88,Jalu,LY,2021-08-03 02:09:55,29.0331,21.5482,85.23,26,0,7.18
89,Alice Springs,AU,2021-08-03 02:09:55,-23.7,133.8833,56.75,35,0,17.27
90,Oranjemund,NA,2021-08-03 02:09:56,-28.55,16.4333,57.24,67,0,4.16
91,Anan,JP,2021-08-03 02:09:56,33.9167,134.65,85.26,70,70,9.64
92,Gizo,SB,2021-08-03 02:09:57,-8.103,156.8419,81.37,79,99,9.82
93,Nyurba,RU,2021-08-03 02:09:57,63.2842,118.3319,77.94,39,0,9.01
94,Codrington,AU,2021-08-03 02:09:57,-38.2667,141.9667,51.96,78,66,21.68
95,Meadow Lake,US,2021-08-03 02:09:58,34.8014,-106.5436,81.48,47,37,3.47
96,Wanning,CN,2021-08-03 02:07:32,18.8003,110.3967,87.87,67,99,7.43
97,East London,ZA,2021-08-03 02:05:16,-33.0153,27.9116,57.97,80,1,16.73
98,Araouane,ML,2021-08-03 02:09:58,18.9048,-3.5265,94.53,34,25,8.05
99,Bethel,US,2021-08-03 02:09:59,41.3712,-73.414,69.66,81,40,3.44
100,Saint Anthony,US,2021-08-03 02:09:59,45.0205,-93.218,76.93,51,1,1.01
101,Souillac,MU,2021-08-03 02:07:07,-20.5167,57.5167,66.54,67,0,2.84
102,Dikson,RU,2021-08-03 02:10:00,73.5069,80.5464,50.88,81,100,8.03
103,Tuatapere,NZ,2021-08-03 02:10:01,-46.1333,167.6833,50.83,69,45,5.64
104,Leningradskiy,RU,2021-08-03 02:10:01,69.3833,178.4167,33.1,100,100,9.4
105,Lebu,CL,2021-08-03 02:10:01,-37.6167,-73.65,51.39,86,29,16.75
106,Namibe,AO,2021-08-03 02:06:07,-15.1961,12.1522,66.69,85,41,8.43
107,Georgetown,MY,2021-08-03 02:10:12,5.4112,100.3354,85.93,75,20,1.01
108,Yulara,AU,2021-08-03 02:10:12,-25.2406,130.9889,55.24,50,0,12.66
109,Gat,IL,2021-08-03 02:10:14,31.61,34.7642,78.4,49,0,2.13
110,Aklavik,CA,2021-08-03 02:10:14,68.2191,-135.0107,54.32,79,100,13.06
111,Bara,NG,2021-08-03 02:10:14,10.3744,10.7288,73.08,94,100,7.58
112,Barrow,US,2021-08-03 02:10:15,71.2906,-156.7887,42.82,87,90,18.41
113,Kachug,RU,2021-08-03 02:10:15,53.9606,105.8817,69.22,56,100,4.81
114,Esperance,AU,2021-08-03 02:10:16,-33.8667,121.9,55.54,74,72,15.86
115,Miyazu,JP,2021-08-03 02:10:16,35.5333,135.1833,73.6,96,100,4.05
116,Cherskiy,RU,2021-08-03 02:10:16,68.75,161.3,47.66,53,100,20.15
117,Port Elizabeth,ZA,2021-08-03 02:10:17,-33.918,25.5701,51.37,89,1,8.14
118,Berlevag,NO,2021-08-03 02:10:17,70.8578,29.0864,47.77,81,43,6.04
119,Bengkulu,ID,2021-08-03 02:10:18,-3.8004,102.2655,80.69,72,77,2.48
120,Kavieng,PG,2021-08-03 02:10:18,-2.5744,150.7967,83.62,75,29,9.42
121,Atuona,PF,2021-08-03 02:10:19,-9.8,-139.0333,77.5,74,3,17.96
122,Pringsewu,ID,2021-08-03 02:10:19,-5.3582,104.9744,82.4,73,49,1.63
123,Marsa Matruh,EG,2021-08-03 02:10:19,31.3525,27.2453,79.18,79,0,10.07
124,Asyut,EG,2021-08-03 02:10:20,27.181,31.1837,86.41,19,1,3.2
125,Guerrero Negro,MX,2021-08-03 02:10:20,27.9769,-114.0611,75.76,71,78,12.71
126,Ibra,OM,2021-08-03 02:10:21,22.6906,58.5334,84.54,50,92,2.53
127,Talcahuano,CL,2021-08-03 02:10:21,-36.7167,-73.1167,51.48,87,0,9.22
128,Dali,CN,2021-08-03 02:10:21,25.7,100.1833,71.73,69,0,1.43
129,Plettenberg Bay,ZA,2021-08-03 02:10:22,-34.0527,23.3716,56.89,61,0,5.03
130,Touros,BR,2021-08-03 02:08:59,-5.1989,-35.4608,72.5,86,16,15.17
131,Krutinka,RU,2021-08-03 02:10:22,56.0055,71.5113,62.15,69,87,9.55
132,Ottawa,CA,2021-08-03 02:09:50,45.4112,-75.6981,64.8,69,7,0.81
133,Ewo,CG,2021-08-03 02:10:22,-0.8725,14.8206,75.7,70,100,4.21
134,Daraitan,PH,2021-08-03 02:10:23,14.6028,121.4319,86.7,82,100,15.28
135,Torbay,CA,2021-08-03 02:10:23,47.6666,-52.7314,61.27,87,100,13.49
136,Saskylakh,RU,2021-08-03 02:10:24,71.9167,114.0833,71.24,41,22,10.6
137,Stokmarknes,NO,2021-08-03 02:10:24,68.5646,14.9108,48.49,84,87,7.02
138,Smolenka,RU,2021-08-03 02:10:25,52.1352,113.4974,64.47,82,40,4.47
139,Coracora,PE,2021-08-03 02:10:25,-15.0333,-73.7833,47.7,62,41,1.7
140,Tessalit,ML,2021-08-03 02:10:25,20.1986,1.0114,86.9,40,59,8.32
141,Norman Wells,CA,2021-08-03 02:10:25,65.282,-126.8329,85.19,34,4,9.66
142,Mahebourg,MU,2021-08-03 02:10:26,-20.4081,57.7,66.69,68,0,5.5
143,Bathsheba,BB,2021-08-03 02:10:26,13.2167,-59.5167,81.21,78,20,9.22
144,Birao,CF,2021-08-03 02:10:27,10.2849,22.7882,70.07,96,90,4.68
145,Rapar,IN,2021-08-03 02:10:27,23.5667,70.6333,81.46,79,100,17.34
146,Pilar,BR,2021-08-03 02:10:27,-9.5972,-35.9567,71.53,96,28,2.77
147,Sabang,ID,2021-08-03 02:10:28,5.8933,95.3214,83.12,75,100,20.38
148,Pingdu,CN,2021-08-03 02:10:28,36.7844,119.9464,83.44,58,4,1.43
149,Sisimiut,GL,2021-08-03 02:10:29,66.9395,-53.6735,47.57,91,100,3.33
150,Oil City,US,2021-08-03 02:05:50,41.4339,-79.7064,63.64,85,1,3.44
151,Juneau,US,2021-08-03 02:10:29,58.3019,-134.4197,66.2,80,75,5.75
152,Broken Hill,AU,2021-08-03 02:10:30,-31.95,141.4333,53.46,51,6,20.56
153,Kashi,CN,2021-08-03 02:10:30,39.4547,75.9797,63.27,49,5,1.77
154,Cabo San Lucas,MX,2021-08-03 02:06:13,22.8909,-109.9124,93.51,63,20,8.01
155,Nanortalik,GL,2021-08-03 02:10:31,60.1432,-45.2371,44.17,96,100,2.57
156,Namatanai,PG,2021-08-03 02:10:31,-3.6667,152.4333,85.28,68,52,4.88
157,Sola,VU,2021-08-03 02:10:31,-13.8833,167.55,75.29,57,100,11.81
158,Comodoro Rivadavia,AR,2021-08-03 02:08:47,-45.8667,-67.5,51.66,22,0,18.41
159,Mapiri,BO,2021-08-03 02:10:32,-15.25,-68.1667,63.32,75,59,1.03
160,Airai,TL,2021-08-03 02:10:32,-8.9266,125.4092,75.2,31,22,4.99
161,Isangel,VU,2021-08-03 02:10:33,-19.55,169.2667,78.91,57,20,11.5
162,Beyneu,KZ,2021-08-03 02:10:33,45.3167,55.2,85.73,18,0,9.71
163,Ippy,CF,2021-08-03 02:10:33,6.2679,21.2247,68.36,97,100,0.49
164,Qaanaaq,GL,2021-08-03 02:10:34,77.484,-69.3632,43.48,70,78,2.66
165,Nurota,UZ,2021-08-03 02:10:34,40.5614,65.6886,71.69,20,0,6.53
166,Ballina,AU,2021-08-03 02:10:35,-28.8667,153.5667,69.98,60,97,8.23
167,Waitati,NZ,2021-08-03 02:10:35,-45.75,170.5667,48.79,62,77,12.1
168,Mar Del Plata,AR,2021-08-03 02:07:47,-38.0023,-57.5575,50.13,45,0,7.0
169,Dunedin,NZ,2021-08-03 02:10:35,-45.8742,170.5036,48.79,62,89,21.0
170,Hudiksvall,SE,2021-08-03 02:10:36,61.729,17.1036,41.52,77,6,8.75
171,Nicoya,CR,2021-08-03 02:10:37,10.1483,-85.452,74.75,93,100,3.44
172,Dzaoudzi,YT,2021-08-03 02:10:37,-12.7887,45.2699,73.29,83,0,10.36
173,Anloga,GH,2021-08-03 02:10:37,5.7947,0.8973,76.66,89,100,11.07
174,Port Alfred,ZA,2021-08-03 02:10:38,-33.5906,26.891,54.86,86,0,13.51
175,Kant,IN,2021-08-03 02:10:38,27.8,79.8,80.1,82,35,15.68
176,Cotonou,BJ,2021-08-03 02:10:19,6.3654,2.4183,76.51,91,100,9.31
177,San Cristobal,VE,2021-08-03 02:10:38,7.7669,-72.225,75.38,96,100,4.68
178,Baoshan,CN,2021-08-03 02:10:39,46.5586,131.4244,88.27,44,17,8.93
179,Balkhash,KZ,2021-08-03 02:10:39,46.844,74.9804,79.41,34,0,15.66
180,Cayenne,GF,2021-08-03 02:10:39,4.9333,-52.3333,78.1,87,63,0.0
181,Benguela,AO,2021-08-03 02:10:40,-12.5763,13.4055,68.67,85,1,6.06
182,Qixia,CN,2021-08-03 02:10:40,37.2975,120.8256,82.71,58,7,2.64
183,Catuday,PH,2021-08-03 02:10:40,16.2923,119.8062,81.59,83,100,21.61
184,Catamarca,AR,2021-08-03 02:10:41,-28.4696,-65.7852,63.77,35,0,1.99
185,Linjiang,CN,2021-08-03 02:10:41,41.8069,126.9078,83.86,54,50,3.87
186,Ostrovnoy,RU,2021-08-03 02:10:42,68.0531,39.5131,50.58,98,89,6.71
187,Sechura,PE,2021-08-03 02:10:42,-5.5569,-80.8222,65.91,78,12,11.03
188,Roma,US,2021-08-03 02:10:42,43.2128,-75.4557,60.87,83,1,0.0
189,Ribeira Grande,PT,2021-08-03 02:10:43,38.5167,-28.7,72.82,92,25,7.36
190,Haines Junction,CA,2021-08-03 02:10:43,60.7522,-137.5108,67.41,68,67,10.09
